ageband,imc,height,weight,hasSportHistoric,hasWalkingHistoric,gender,avgalt,dist,altDiff,currSpd,avgSpd,accumSub,accumDesc,totDist,modal,load,region,percentUphill,percentDownhill,day,month,hour,minute,diffic
1,24.48565200513601,183,82,1,1,0,250.4,5.647991,0.8000000000000114,1.0129733,1,5,0,5,0,1,"Minho e Douro",100,0,3,3,16,5,medium
1,24.48565200513601,183,82,1,1,0,251.10000000000002,5.416335,0.5999999999999943,1.0428272,1,10,0,10,0,1,"Minho e Douro",100,0,3,3,16,5,medium
1,24.48565200513601,183,82,1,1,0,251.3,4.9620123,-0.20000000000001705,0.8719394,0.6666667,10,4,14,0,1,"Minho e Douro",71.4285714,28.5714285,3,3,16,5,medium
1,24.48565200513601,183,82,1,1,0,250.64999999999998,4.4160957,-1.0999999999999943,0.87245417,0.5,10,8,18,0,1,"Minho e Douro",55.5555555,44.4444444,3,3,16,5,medium
1,24.48565200513601,183,82,1,1,0,250.45,3.621567,0.700000000000017,0.58420974,0.4,13,8,21,0,1,"Minho e Douro",61.9047619,38.095238,3,3,16,5,medium
1,24.48565200513601,183,82,1,1,0,251.4,3.7880385,1.1999999999999886,0.5975925,0.33333334,16,8,24,0,1,"Minho e Douro",66.6666666,33.3333333,3,3,16,5,medium
1,24.48565200513601,183,82,1,1,0,252.6,3.8984106,1.1999999999999886,0.67016834,0.2857143,19,8,27,0,1,"Minho e Douro",70.3703703,29.6296296,3,3,16,5,medium
1,24.48565200513601,183,82,1,1,0,253.45,3.5640106,0.5,0.5605325,0.25,22,8,30,0,1,"Minho e Douro",73.3333333,26.6666666,3,3,16,5,medium
1,24.48565200513601,183,82,1,1,0,254.39999999999998,4.5714025,1.4000000000000057,0.6655358,0.22222222,26,8,34,0,1,"Minho e Douro",76.4705882,23.5294117,3,3,16,5,medium
1,24.48565200513601,183,82,1,1,0,256.6,4.901674,3.0000000000000284,0.7092872,0.2,30,8,38,0,1,"Minho e Douro",78.9473684,21.0526315,3,3,16,6,medium
1,24.48565200513601,183,82,1,1,0,259.4,6.473897,2.599999999999966,0.9954728,0.18181819,36,8,44,0,1,"Minho e Douro",81.8181818,18.1818181,3,3,16,6,medium
1,24.48565200513601,183,82,1,1,0,261.29999999999995,5.272087,1.1999999999999886,0.94091225,0.16666667,41,8,49,0,1,"Minho e Douro",83.6734693,16.3265306,3,3,16,6,medium
1,24.48565200513601,183,82,1,1,0,262,5.155061,0.20000000000004547,0.9980464,0.15384616,46,8,54,0,1,"Minho e Douro",85.1851851,14.8148148,3,3,16,6,medium
1,24.48565200513601,183,82,1,1,0,262.25,4.5236044,0.2999999999999545,1.0387094,0.21428572,50,8,58,0,1,"Minho e Douro",86.2068965,13.7931034,3,3,16,6,medium
1,24.48565200513601,183,82,1,1,0,262.6,5.027394,0.4000000000000341,1.1107706,0.26666668,55,8,63,0,1,"Minho e Douro",87.3015873,12.6984126,3,3,16,6,medium
1,24.48565200513601,183,82,1,1,0,262.5,4.9622636,-0.6000000000000227,0.972825,0.25,55,12,67,0,1,"Minho e Douro",82.0895522,17.9104477,3,3,16,6,medium
1,24.48565200513601,183,82,1,1,0,262.79999999999995,5.3221126,1.1999999999999886,0.9548097,0.23529412,60,12,72,0,1,"Minho e Douro",83.3333333,16.6666666,3,3,16,6,medium
1,24.48565200513601,183,82,1,1,0,263.9,4.8892245,1,0.8503211,0.22222222,64,12,76,0,1,"Minho e Douro",84.2105263,15.7894736,3,3,16,6,medium
1,24.48565200513601,183,82,1,1,0,236.39999999999998,7.222538,2.5999999999999943,0.95275086,0,7,0,7,0,0,"Minho e Douro",100,0,5,3,10,43,easy
1,24.48565200513601,183,82,1,1,0,264.4,4.472663,0,1.1576103,0.2631579,64,12,80,0,1,"Minho e Douro",80,15,3,3,16,6,hard
1,24.48565200513601,183,82,1,1,0,246.25,40.004784,17.100000000000023,0.85804194,0,47,0,47,0,0,"Minho e Douro",100,0,5,3,10,43,easy
1,24.48565200513601,183,82,1,1,0,255.95000000000002,3.344528,2.3000000000000114,0.8477475,0,50,0,50,0,0,"Minho e Douro",100,0,5,3,10,43,easy
1,24.48565200513601,183,82,1,1,0,264.9,3.424,1,0.8477475,0.25,67,12,83,0,1,"Minho e Douro",80.7228915,14.4578313,3,3,16,6,medium
1,24.48565200513601,183,82,1,1,0,257.85,4.819297,1.5,0.87399834,0,54,0,54,0,0,"Minho e Douro",100,0,5,3,10,43,easy
1,24.48565200513601,183,82,1,1,0,264.5,4.296329,-1.7999999999999545,0.81223166,0.23809524,67,16,87,0,1,"Minho e Douro",77.0114942,18.3908045,3,3,16,6,easy
1,24.48565200513601,183,82,1,1,0,262,3.6729064,-3.2000000000000455,0.657815,0.22727273,67,19,90,0,1,"Minho e Douro",74.4444444,21.1111111,3,3,16,7,easy
1,24.48565200513601,183,82,1,1,0,255.85000000000002,8.554606,-5.500000000000028,0.8503211,0,54,8,62,0,0,"Minho e Douro",87.0967741,12.9032258,5,3,10,44,easy
1,24.48565200513601,183,82,1,1,0,259.9,3.461597,-1,0,0.2173913,67,22,93,0,1,"Minho e Douro",72.0430107,23.6559139,3,3,16,7,easy
1,24.48565200513601,183,82,1,1,0,250.5,5.610056,-5.199999999999989,0.7823778,0,54,13,67,0,0,"Minho e Douro",80.5970149,19.402985,5,3,10,44,easy
1,24.48565200513601,183,82,1,1,0,259.4,3.6551023,0,0,0.20833333,67,22,96,0,1,"Minho e Douro",69.7916666,22.9166666,3,3,16,7,hard
1,24.48565200513601,183,82,1,1,0,246.60000000000002,3.88029,-2.5999999999999943,0.7602447,0,54,16,70,0,0,"Minho e Douro",77.1428571,22.8571428,5,3,10,44,easy
1,24.48565200513601,183,82,1,1,0,245,4.0658264,-0.6000000000000227,0.8935578,0,54,20,74,0,0,"Minho e Douro",72.9729729,27.027027,5,3,10,44,easy
1,24.48565200513601,183,82,1,1,0,261.75,9.960254,4.7000000000000455,0.49464807,0.2,76,22,105,0,1,"Minho e Douro",72.3809523,20.9523809,3,3,16,7,hard
1,24.48565200513601,183,82,1,1,0,239.2,10.004355,-11,0.9676778,0,54,30,84,0,0,"Minho e Douro",64.2857142,35.7142857,5,3,10,44,easy
1,24.48565200513601,183,82,1,1,0,266.1,6.5884304,4,0.7762011,0.1923077,82,22,111,0,1,"Minho e Douro",73.8738738,19.8198198,3,3,16,7,medium
1,24.48565200513601,183,82,1,1,0,231.89999999999998,6.154615,-3.5999999999999943,0,0,54,36,90,0,0,"Minho e Douro",60,40,5,3,10,44,easy
1,24.48565200513601,183,82,1,1,0,268.8,5.861939,1.3999999999999773,0.8971608,0.18518518,87,22,116,0,1,"Minho e Douro",75,18.9655172,3,3,16,7,medium
1,24.48565200513601,183,82,1,1,0,269.6,4.630037,0.19999999999998863,0.8477475,0.17857143,91,22,120,0,1,"Minho e Douro",75.8333333,18.3333333,3,3,16,7,medium
1,24.48565200513601,183,82,1,1,0,229.6,5.1882553,-1,0.6228139,0,54,41,95,0,0,"Minho e Douro",56.8421052,43.1578947,5,3,10,44,easy
1,24.48565200513601,183,82,1,1,0,270.25,6.7141447,1.1000000000000227,1.1890084,0.20689656,97,22,126,0,1,"Minho e Douro",76.9841269,17.4603174,3,3,16,7,medium
1,24.48565200513601,183,82,1,1,0,226.3,15.494544,-5.599999999999994,0,0,54,56,110,0,0,"Minho e Douro",49.090909,50.9090909,5,3,10,44,easy
1,24.48565200513601,183,82,1,1,0,271.5,6.826006,1.3999999999999773,1.009885,0.23333333,103,22,132,0,1,"Minho e Douro",78.030303,16.6666666,3,3,16,7,medium
1,24.48565200513601,183,82,1,1,0,222.85,5.455839,-1.3000000000000114,0.9831194,0,54,61,115,0,0,"Minho e Douro",46.9565217,53.0434782,5,3,10,44,easy
1,24.48565200513601,183,82,1,1,0,272.5,5.585716,0.6000000000000227,0.86988056,0.22580644,108,22,137,0,1,"Minho e Douro",78.8321167,16.0583941,3,3,16,7,medium
1,24.48565200513601,183,82,1,1,0,273.6,7.4748,1.599999999999966,1.1179767,0.25,115,22,144,0,1,"Minho e Douro",79.8611111,15.2777777,3,3,16,8,medium
1,24.48565200513601,183,82,1,1,0,221.45,6.0209203,-1.5,1.0829755,0.071428575,54,67,121,0,0,"Minho e Douro",44.6280991,55.3719008,5,3,10,44,easy
1,24.48565200513601,183,82,1,1,0,220.05,5.0340796,-1.299999999999983,1.0057672,0.13333334,54,72,126,0,0,"Minho e Douro",42.8571428,57.1428571,5,3,10,45,easy
1,24.48565200513601,183,82,1,1,0,274.95,5.9200635,1.1000000000000227,1.1879789,0.27272728,120,22,149,0,1,"Minho e Douro",80.5369127,14.7651006,3,3,16,8,medium
1,24.48565200513601,183,82,1,1,0,218.75,5.357944,-1.3000000000000114,0.8611303,0.125,54,77,131,0,0,"Minho e Douro",41.221374,58.7786259,5,3,10,45,easy
1,24.48565200513601,183,82,1,1,0,275.9,4.897205,0.8000000000000114,0.8317911,0.2647059,124,22,153,0,1,"Minho e Douro",81.0457516,14.3790849,3,3,16,8,medium
1,24.48565200513601,183,82,1,1,0,217.1,4.4864798,-2,1.0603278,0.1764706,54,81,135,0,0,"Minho e Douro",40,60,5,3,10,45,easy
1,24.48565200513601,183,82,1,1,0,277,6.5887995,1.3999999999999773,1.1848905,0.2857143,130,22,159,0,1,"Minho e Douro",81.7610062,13.8364779,3,3,16,8,medium
1,24.48565200513601,183,82,1,1,0,215,4.013037,-2.1999999999999886,0.9228969,0.16666667,54,85,139,0,0,"Minho e Douro",38.8489208,61.1510791,5,3,10,45,easy
1,24.48565200513601,183,82,1,1,0,278.9,5.853147,2.400000000000034,1.1308447,0.30555555,135,22,164,0,1,"Minho e Douro",82.3170731,13.4146341,3,3,16,8,medium
